# wavelength 	 flux_density
9.139880000000000564e+02 8.525870000000000000e+15
9.142190000000000509e+02 8.299930000000000000e+15
9.144499999999999318e+02 8.103090000000001000e+15
9.146809999999999263e+02 8.063970000000000000e+15
9.149119999999999209e+02 8.037170000000001000e+15
9.151430000000000291e+02 8.116490000000001000e+15
9.153740000000000236e+02 8.299070000000001000e+15
9.156050000000000182e+02 8.307800000000000000e+15
9.158360000000000127e+02 8.214860000000001000e+15
9.160670000000000073e+02 8.236970000000001000e+15
9.162980000000000018e+02 8.329050000000000000e+15
9.165289999999999964e+02 8.243720000000000000e+15
9.167599999999999909e+02 8.160140000000001000e+15
9.169909999999999854e+02 8.032120000000000000e+15
9.172219999999999800e+02 7.833460000000000000e+15
9.174539999999999509e+02 7.738800000000000000e+15
9.176840000000000828e+02 7.840910000000000000e+15
9.179159999999999400e+02 8.007850000000000000e+15
9.181470000000000482e+02 8.113860000000000000e+15
9.183780000000000427e+02 8.127060000000001000e+15
9.186090000000000373e+02 8.171840000000000000e+15
9.188400000000000318e+02 8.223820000000000000e+15
9.190710000000000264e+02 8.097130000000000000e+15
9.193019999999999072e+02 7.988000000000000000e+15
9.195330000000000155e+02 7.979110000000001000e+15
9.197640000000000100e+02 8.069490000000001000e+15
9.199950000000000045e+02 8.086470000000001000e+15
9.202259999999999991e+02 8.002180000000001000e+15
9.204569999999999936e+02 8.026690000000001000e+15
9.206870000000000118e+02 8.024440000000001000e+15
9.209180000000000064e+02 8.017460000000000000e+15
9.211490000000000009e+02 7.931500000000000000e+15
9.213799999999999955e+02 7.750710000000001000e+15
9.216109999999999900e+02 7.714310000000000000e+15
9.218420000000000982e+02 7.809300000000000000e+15
9.220729999999999791e+02 7.852420000000000000e+15
9.223039999999999736e+02 8.100510000000001000e+15
9.225349999999999682e+02 8.139700000000000000e+15
9.227659999999999627e+02 7.824830000000001000e+15
9.229969999999999573e+02 7.816320000000001000e+15
9.232280000000000655e+02 7.804520000000000000e+15
9.234590000000000600e+02 7.841180000000000000e+15
9.236900000000000546e+02 7.977070000000001000e+15
9.239210000000000491e+02 8.007370000000001000e+15
9.241519999999999300e+02 7.966560000000000000e+15
9.243829999999999245e+02 7.890670000000000000e+15
9.246140000000000327e+02 7.964230000000001000e+15
9.248450000000000273e+02 7.965310000000000000e+15
9.250760000000000218e+02 7.929430000000001000e+15
